iter	Passed	Remaining
410	3186	4566
411	3191	4554
412	3196	4542
413	3202	4533
414	3207	4521
415	3212	4509
416	3219	4500
417	3224	4489
418	3229	4477
419	3236	4468
420	3240	4457
421	3245	4445
422	3252	4436
423	3257	4425
424	3262	4413
425	3269	4405
426	3275	4395
427	3282	4387
428	3287	4375
429	3292	4364
430	3298	4355
431	3303	4343
432	3308	4332
433	3315	4323
434	3320	4312
435	3325	4301
436	3331	4292
437	3337	4282
438	3353	4285
439	3369	4288
440	3374	4277
441	3381	4268
442	3386	4257
443	3391	4246
444	3397	4237
445	3402	4226
446	3407	4215
447	3413	4205
448	3418	4195
449	3424	4185
450	3429	4174
451	3434	4164
452	3441	4155
453	3446	4144
454	3450	4133
455	3457	4124
456	3462	4114
457	3467	4103
458	3474	4094
459	3478	4083
460	3484	4073
461	3491	4065
462	3496	4054
463	3500	4044
464	3507	4035
465	3512	4025
466	3517	4014
467	3524	4006
468	3529	3996
469	3534	3985
470	3541	3977
471	3546	3966
472	3551	3956
473	3556	3946
474	3562	3937
475	3569	3928
476	3574	3919
477	3580	3909
478	3610	3927
479	3617	3919
480	3623	3909
481	3628	3899
482	3635	3891
483	3640	3881
484	3646	3871
485	3652	3862
486	3657	3852
487	3664	3844
488	3669	3834
489	3674	3824
490	3681	3816
491	3687	3807
492	3692	3797
493	3699	3789
494	3704	3779
495	3710	3770
496	3716	3761
497	3721	3751
498	3728	3743
499	3733	3733
500	3747	3732
501	3757	3727
502	3780	3735
503	3791	3731
504	3798	3723
505	3805	3715
506	3813	3708
507	3821	3701
508	3828	3693
509	3833	3683
510	3838	3673
511	3846	3665
512	3851	3656
513	3856	3646
514	3862	3637
515	3867	3627
516	3873	3618
517	3878	3609
518	3883	3599
519	3889	3589
520	3894	3580
521	3898	3570
522	3903	3560
523	3909	3551
524	3914	3541
525	3919	3531
526	3927	3525
527	3932	3515
528	3939	3507
529	3944	3497
530	3949	3487
531	3955	3479
532	3960	3470
533	3965	3460
534	3972	3452
535	3976	3442
536	3981	3432
537	3988	3424
538	3993	3415
539	3998	3405
540	4005	3398
541	4010	3388
542	4015	3379
543	4021	3371
544	4026	3361
545	4031	3352
546	4037	3343
547	4042	3334
548	4047	3324
549	4053	3316
550	4058	3307
551	4063	3297
552	4069	3289
553	4074	3280
554	4079	3270
555	4085	3262
556	4090	3253
557	4095	3243
558	4100	3235
559	4105	3226
560	4111	3217
561	4116	3208
562	4121	3199
563	4127	3190
564	4132	3181
565	4137	3172
566	4143	3164
567	4148	3155
568	4153	3146
569	4158	3137
570	4164	3128
571	4170	3120
572	4192	3123
573	4196	3114
574	4201	3105
575	4207	3096
576	4212	3088
577	4217	3079
578	4222	3070
579	4228	3061
580	4232	3052
581	4238	3043
582	4244	3035
583	4249	3026
584	4255	3018
585	4260	3009
586	4265	3001
587	4272	2993
588	4277	2984
589	4282	2975
590	4289	2968
591	4294	2959
592	4299	2950
593	4306	2943
594	4311	2934
595	4316	2925
596	4323	2918
597	4328	2909
598	4333	2900
599	4340	2893
600	4345	2884
601	4350	2876
602	4356	2868
603	4361	2859
604	4368	2851
605	4372	2843
606	4378	2834
607	4384	2826
608	4389	2818
609	4394	2809
610	4400	2801
611	4405	2793
612	4410	2784
613	4416	2776
614	4421	2768
615	4426	2759
616	4433	2752
617	4438	2743
618	4442	2734
619	4449	2726
620	4454	2718
621	4459	2710
