iter	RMSE
168	0.1950466994
169	0.1945186293
170	0.1941798938
171	0.1937485666
172	0.1934163342
173	0.1930854107
174	0.1927232778
175	0.1924117903
176	0.1919547058
177	0.1915434964
178	0.1912754133
179	0.1911145502
180	0.1907044177
181	0.1903348967
182	0.189964872
183	0.1897057971
184	0.1894425366
185	0.1889130837
186	0.1885513638
187	0.1882459765
188	0.1878196863
189	0.1873898815
190	0.18695576
191	0.1863995873
192	0.1860543237
193	0.1857105486
194	0.1852158362
195	0.1850059879
196	0.1847461147
197	0.1844908354
198	0.1840812879
199	0.1836650364
200	0.183286179
201	0.1828469662
202	0.1823772517
203	0.182113198
204	0.1819105962
205	0.1815773325
206	0.1811132954
207	0.180723551
208	0.180378693
209	0.1799298634
210	0.1797352399
211	0.1794795896
212	0.1791690344
213	0.1786250474
214	0.1781368884
215	0.1776119291
216	0.1773734807
217	0.1770701719
218	0.1767827409
219	0.1764986601
220	0.1763706819
221	0.1761616014
222	0.1757909002
223	0.1754268549
224	0.1750635532
225	0.174507325
226	0.1742901704
227	0.1740118453
228	0.173827576
229	0.1737007939
230	0.1733773636
231	0.1730517975
232	0.1727563745
233	0.1723971367
234	0.1719350156
235	0.171645892
236	0.17139576
237	0.1711208506
238	0.1707327524
239	0.1701943618
240	0.1697334505
241	0.1695091481
242	0.1691916135
243	0.1689296724
244	0.1687152134
245	0.1685496952
246	0.1683379182
247	0.1681379053
248	0.167984244
249	0.1676212529
250	0.167283981
251	0.1667995923
252	0.1665972493
253	0.1664150898
254	0.1658410937
255	0.165627998
256	0.1652894715
257	0.1650478256
258	0.1648661729
259	0.1645160099
260	0.1642230502
261	0.1639174715
262	0.1637845003
263	0.1632984514
264	0.1629885256
265	0.1628020174
266	0.1624367233
267	0.1621888116
268	0.1619592664
269	0.1617569714
270	0.1616362915
271	0.1615734389
272	0.1612930087
273	0.1611537011
274	0.1609052743
275	0.1607286899
276	0.160518401
277	0.1601736951
278	0.160012362
279	0.1597908453
280	0.1596596694
281	0.1594490756
282	0.1591978741
283	0.1590091997
284	0.1587368258
285	0.1584295511
286	0.1579959115
287	0.1576321784
288	0.1574377959
289	0.1572453989
290	0.1569573142
291	0.1567885877
292	0.1566231516
293	0.1563988127
294	0.1559934954
295	0.1556675192
296	0.1553039756
297	0.1551676365
298	0.1546997163
299	0.1544103386
300	0.1542051425
301	0.1539142088
302	0.1537332143
303	0.153493922
304	0.1532998262
305	0.1530188811
306	0.1526049081
307	0.1523192342
308	0.1521969658
309	0.1519053135
310	0.1517009328
311	0.1514009788
312	0.1511208078
313	0.1508478156
314	0.1505380063
315	0.150311117
316	0.150121767
317	0.1498581848
318	0.1497712026
319	0.1495124266
320	0.1493625001
321	0.1492176939
322	0.1490917191
323	0.148679565
324	0.1481678226
325	0.1478776492
326	0.147670326
327	0.1474344892
328	0.1470928774
329	0.1465540955
330	0.1463137662
331	0.1461127619
332	0.1457429737
333	0.1456578494
334	0.1454444775
335	0.1452733506
336	0.1449824539
337	0.1447249688
338	0.1446026554
339	0.1444680782
340	0.1443208556
341	0.1441789335
342	0.1439138581
343	0.1437417705
344	0.1435585262
345	0.1433116289
346	0.1431222787
347	0.1427146004
348	0.1425956033
349	0.1423187568
350	0.1421771582
351	0.1419847201
352	0.1418711648
353	0.1417648756
354	0.1414947755
355	0.1409636944
356	0.1406263852
357	0.1403994828
358	0.1402199552
359	0.1400656528
360	0.1398564515
361	0.1395441199
362	0.1393805394
363	0.1391832752
364	0.1389149452
365	0.1387563536
366	0.1386539721
367	0.1384050799
368	0.1382618966
369	0.1380547529
370	0.1378295472
371	0.1376576328
372	0.1375045367
373	0.1374496798
374	0.1371395217
375	0.1366946307
376	0.1364793253
377	0.136369463
378	0.136221536
379	0.1359828811
380	0.1358545209
381	0.135555515
382	0.1354014982
383	0.1351390006
384	0.1350487066
385	0.1347670326
386	0.1346036883
387	0.1344557606
388	0.1341797973
389	0.1339370056
390	0.1336375272
391	0.1333727678
392	0.133268328
393	0.1331165178
394	0.1330097945
395	0.1326964425
396	0.1324184677
397	0.132124247
398	0.1318813799
399	0.1317844485
400	0.1316044615
401	0.1314476182
402	0.1313103363
403	0.1311195597
404	0.1310009971
405	0.130826185
406	0.1306693142
407	0.1303794335
408	0.1302266553
409	0.1300210435
410	0.1297127974
411	0.1296130962
412	0.1295099702
413	0.1292824526
414	0.1291397512
415	0.1288726191
416	0.1287707673
417	0.1285828133
418	0.1283405996
419	0.1281871695
420	0.1280354145
421	0.1279154022
422	0.1277688379
423	0.1275894243
424	0.1273996105
425	0.1271557389
426	0.1269954118
427	0.1267397187
428	0.1264324099
429	0.126236704
430	0.1261236365
431	0.1260154527
432	0.12588083
433	0.1258148047
434	0.1256247218
435	0.1254525162
436	0.125087067
437	0.1249444162
438	0.1247314957
439	0.1246466927
440	0.1244788762
441	0.1243318013
442	0.1241733275
443	0.1238632082
444	0.1237757199
445	0.1236719385
446	0.1233642671
447	0.1232688278
448	0.1231763343
449	0.1229382491
450	0.1228483215
451	0.1225266539
452	0.1224057556
453	0.1221503611
454	0.1220420119
455	0.1219338506
456	0.1218108689
457	0.1216487774
458	0.1215362438
459	0.1214930202
460	0.1211999969
461	0.1211352304
462	0.1209734182
463	0.1208089845
464	0.1207117445
465	0.1206203848
466	0.1204711504
467	0.1202494265
468	0.1200689928
469	0.1199519694
470	0.1197345629
471	0.1195004085
472	0.1193329767
473	0.1191452838
474	0.1190226176
475	0.1188628896
476	0.1186810951
477	0.1185296694
478	0.1184188116
479	0.1183825454
480	0.1182717754
481	0.1180740728
482	0.1179407383
483	0.1179055593
484	0.1177385533
485	0.1176254955
486	0.1175300938
487	0.1173758553
488	0.1172254748
489	0.1170894432
490	0.1170495894
491	0.1169283447
492	0.1168085666
493	0.1167751974
494	0.1166546512
495	0.1163364507
496	0.1162551875
497	0.1161010988
498	0.1159602996
499	0.1158574418
500	0.1157976876
501	0.1154906603
502	0.1152693163
503	0.1151709896
504	0.1150128534
505	0.1149682757
506	0.1148986279
507	0.1146888911
508	0.1145503865
509	0.1143302527
510	0.114208954
511	0.1140316698
512	0.1139072782
513	0.1136909106
514	0.1135775387
515	0.1134540947
516	0.1133258028
517	0.1132420595
518	0.1129978643
519	0.1127806622
520	0.1127509546
521	0.1127088497
522	0.1126338829
523	0.1125787859
524	0.1125388488
525	0.1124244003
526	0.11226035
527	0.1120290113
528	0.1118001831
529	0.111761997
530	0.1117046345
531	0.1116025274
532	0.1114494296
533	0.1113620912
534	0.1113113898
535	0.1112499662
536	0.1111444043
537	0.1111083309
538	0.1109635223
539	0.1108446309
540	0.1107010521
541	0.1106022357
542	0.1104815754
543	0.1103551925
544	0.1101748583
545	0.1100106413
546	0.1099366686
547	0.1098909279
548	0.1097302891
549	0.1096545153
550	0.1096113023
551	0.1094748849
552	0.1093166397
553	0.1092499368
554	0.1091378508
555	0.109112258
556	0.1089841107
557	0.1088814091
558	0.1086937384
559	0.1085552862
560	0.1083861616
561	0.108292983
562	0.1082059346
563	0.1080688546
564	0.1079568965
565	0.1077222382
566	0.1076207542
567	0.1075041024
568	0.1074125016
569	0.1073626845
570	0.1071759165
571	0.1070847344
572	0.1069865104
573	0.1068505707
574	0.1067217867
575	0.1065648156
576	0.106450994
577	0.1063554936
578	0.1061705354
579	0.1060500348
580	0.1060224704
581	0.1059182043
582	0.1057817489
583	0.1055858541
584	0.1054329113
585	0.105353851
586	0.1051607492
587	0.1050216059
588	0.1049095307
589	0.1047156239
590	0.1046854677
591	0.1045353896
592	0.1044500414
593	0.104345202
594	0.1042109585
595	0.1039563075
596	0.1038760081
597	0.1038508403
598	0.103763237
599	0.1035859153
600	0.1035015174
601	0.1033065227
602	0.1032819522
603	0.1031530404
604	0.102993435
605	0.1028193467
606	0.1027248854
607	0.1027011134
608	0.1025575398
609	0.1024557982
610	0.1023636665
611	0.1023403605
612	0.102096582
613	0.1020073602
614	0.1019321277
615	0.1018006366
616	0.1017081459
617	0.1016262704
618	0.1014809419
619	0.1013507413
620	0.1013233592
621	0.1012001894
622	0.101095612
623	0.100944866
624	0.1009036168
625	0.1008795129
626	0.1007189657
627	0.1006286908
628	0.1005390651
629	0.1004242824
630	0.1003311243
631	0.1002080331
632	0.1000322446
633	0.0999513135
634	0.09987534424
635	0.09970209732
636	0.0995633394
637	0.09948083731
638	0.09939366413
639	0.09930509629
640	0.0992181027
641	0.09911945752
642	0.09895644643
643	0.09888402298
644	0.09878875247
645	0.09876489732
646	0.098546791
647	0.09842726404
648	0.09825357248
649	0.09811230715
650	0.09804386675
651	0.09797610726
652	0.09782719942
653	0.09774242231
654	0.09761059901
655	0.09752530222
656	0.09735563615
657	0.0973188199
658	0.09722786333
659	0.09705738463
660	0.09693717407
661	0.09681372871
662	0.09671816727
663	0.09662454836
664	0.09656095093
665	0.09648480221
666	0.09637174003
667	0.09628408195
668	0.09613487255
669	0.09604533966
670	0.09596690696
671	0.09583146871
672	0.09575024819
673	0.09565172986
674	0.09550483526
675	0.09542876961
676	0.09534963445
677	0.09523494179
678	0.0950805996
679	0.09506052326
680	0.09498431766
681	0.09484881259
682	0.0946764651
683	0.09466035545
684	0.09453282354
685	0.09442468672
686	0.09426548563
687	0.09410982014
688	0.09396480669
689	0.09383142016
690	0.09376016436
691	0.09363582074
692	0.0935752478
693	0.09354287137
694	0.09347076421
695	0.09335081424
696	0.09326098066
697	0.09324042227
698	0.09313459098
699	0.09297268402
700	0.09293308518
701	0.09278473549
702	0.09264877667
703	0.09257122766
704	0.09248122646
705	0.09235907555
706	0.09225675005
707	0.09215741824
708	0.09209115214
709	0.09200296736
710	0.09198633204
711	0.09185682852
712	0.0917551596
713	0.0916953667
714	0.09161902743
715	0.09154972422
716	0.09149114517
717	0.09142137568
718	0.09132411946
719	0.09123222226
720	0.09108623304
721	0.0909982234
722	0.09084219322
723	0.09072044702
724	0.09062160885
725	0.09048733512
726	0.09045631204
727	0.09034001685
728	0.09021971391
729	0.09015523671
730	0.09007647234
731	0.09001376857
732	0.08993996306
733	0.08986492076
734	0.08970872526
735	0.08959642658
736	0.08957813708
737	0.08950170142
738	0.08944299167
739	0.08933224096
740	0.08925716525
741	0.08910182055
742	0.08896756298
743	0.08891540146
744	0.08887365693
745	0.08871381868
746	0.08861226866
747	0.08852921314
748	0.0884443993
749	0.08837002722
750	0.08831488794
751	0.08826367025
752	0.08820157271
753	0.08812373985
754	0.08801698539
755	0.08791773242
756	0.08784735548
757	0.08780180952
758	0.08771064255
759	0.0876241031
760	0.08756823471
761	0.08745643885
762	0.0874160902
763	0.08732519701
764	0.08725602176
765	0.0871718272
766	0.08711986772
767	0.08704676761
768	0.08698603794
769	0.08689330503
770	0.08677738646
771	0.08670930611
772	0.08663001182
773	0.08653650582
774	0.08643232245
775	0.08638705883
776	0.08633732677
777	0.08615590013
778	0.08608839269
779	0.08602738044
780	0.08597676047
781	0.08587041991
782	0.08574935634
783	0.08566778125
784	0.08559631068
785	0.08548943252
786	0.08543915176
787	0.08532651967
788	0.08517854609
789	0.0850219717
790	0.08497502384
791	0.08491411379
792	0.08486523878
793	0.08480780209
794	0.08475476705
795	0.08465705991
796	0.0845906849
797	0.08452537658
798	0.08443012064
799	0.08429851595
800	0.08425764775
801	0.08419133743
802	0.08409076803
803	0.08399701733
804	0.08392478328
805	0.08388452263
806	0.08375901888
807	0.08366543174
808	0.08357711989
809	0.08348287063
810	0.08335666744
811	0.08333353234
812	0.08314246324
813	0.08304858634
814	0.08299664848
815	0.08290799932
816	0.08285064313
817	0.08277735709
818	0.08272063032
819	0.08258760869
820	0.08253572488
821	0.08249360397
822	0.08242676861
823	0.08229388194
824	0.08209313614
825	0.0820534427
826	0.08198697372
827	0.08192560806
828	0.08181657995
829	0.08177206019
830	0.08168334522
831	0.0816071644
832	0.08156916435
833	0.08149298841
834	0.08140870166
835	0.08134364204
836	0.08127622398
837	0.08124282741
838	0.08117646248
839	0.08109675819
840	0.08105701943
841	0.08098446512
842	0.08092656841
843	0.08083732041
844	0.08077208207
845	0.08062492216
846	0.08057682202
847	0.08052783067
848	0.08049273753
849	0.08038457084
850	0.0802651566
851	0.08021060691
852	0.08014460122
853	0.0800539345
854	0.07994726906
855	0.07985875266
856	0.07976689284
857	0.07973627519
858	0.07967167552
859	0.07957777459
860	0.0795007376
861	0.0794136642
862	0.07932949775
863	0.07929247626
864	0.07924698463
865	0.07920150931
866	0.07916269079
867	0.07912580947
868	0.07905478492
869	0.07897862099
870	0.07892387983
871	0.07886069883
872	0.07879862676
873	0.0787499894
874	0.0786069228
875	0.07853946982
876	0.07845867084
877	0.07839860863
878	0.07831570899
879	0.07825400385
880	0.07820746336
881	0.07813582089
882	0.07808789421
883	0.07805364104
884	0.07793894326
885	0.07787098605
886	0.07779219414
887	0.0776844625
888	0.0776229085
889	0.0775579992
890	0.07754153417
891	0.07742942747
892	0.07733172801
893	0.07723072768
894	0.07717899998
895	0.07712200288
896	0.07705807807
897	0.07698132654
898	0.07691353637
899	0.07685571557
900	0.07677475009
901	0.07668192013
902	0.07660067519
903	0.07650733728
904	0.07646650456
905	0.07638173285
906	0.07629732757
907	0.07623189217
908	0.07615328139
909	0.07605891136
910	0.07598784151
911	0.07593118928
912	0.07588202368
913	0.07579883422
914	0.07577042722
915	0.07570252001
916	0.07564703203
917	0.07559512662
918	0.07553920223
919	0.07549313979
920	0.07543474179
921	0.07538291038
922	0.07532409821
923	0.07525268499
924	0.0752118667
925	0.07516659754
926	0.07511472415
927	0.07504323882
928	0.07500262362
929	0.0749828999
930	0.07492132969
931	0.0748583301
932	0.07473742161
933	0.07468570015
934	0.07463579083
935	0.07458740809
936	0.0745087411
937	0.07444918452
938	0.07439490041
939	0.0743603175
940	0.07428420002
941	0.07422547321
942	0.07415714374
943	0.07411631141
944	0.07402337017
945	0.07398685138
946	0.07393044439
947	0.07386503936
948	0.07380522581
949	0.07374661189
950	0.07366915204
951	0.07358626989
952	0.07354475923
953	0.07345673066
954	0.0733694044
955	0.0732951267
956	0.07326709941
957	0.07315759936
958	0.073095052
959	0.07299487141
960	0.07296124271
961	0.07291083717
962	0.07284986748
963	0.07281691421
964	0.07270316641
965	0.07265111569
966	0.07257492671
967	0.07249420341
968	0.07245582078
969	0.07237984064
970	0.07231734235
971	0.07227021128
972	0.07223871095
973	0.07219034764
974	0.07212842704
975	0.07207502024
976	0.07200890138
977	0.07194792602
978	0.07189533102
979	0.07179315188
980	0.07176481562
981	0.07171621191
982	0.07167217023
983	0.07158771581
984	0.07150569099
985	0.07148132682
986	0.07145838118
987	0.07138907071
988	0.07132554689
989	0.07123153319
990	0.07117823104
991	0.07114148415
992	0.07106846706
993	0.0710134879
994	0.07097934298
995	0.07095125968
996	0.07089784073
997	0.07085876799
998	0.07076901585
999	0.07067807044
